Make, Year, Average Price
Barton, 2023, 4590.00
Barton, N/A, 4590.00
Bashan, 2023, 5490.00
Bashan, N/A, 5490.00
Cfmoto, 2023, 3900.00
GASGAS, 2021, 10966.50
GASGAS, 2022, 11111.00
GASGAS, 2023, 15000.00
GASGAS, 2024, 20990.00
Honda, 2006, 5475.00
Honda, 2007, 5613.75
Honda, 2008, 5675.00
Honda, 2009, 5500.00
Honda, 2010, 7000.00
Honda, 2011, 6050.00
Honda, 2012, 6411.47
Honda, 2013, 5910.00
Honda, 2014, 6700.00
Honda, 2015, 7150.00
Honda, 2016, 6599.67
Honda, 2017, 7899.50
Honda, 2018, 8862.50
Honda, 2019, 9050.00
Honda, 2020, 10999.80
Honda, 2021, 11550.00
Honda, 2022, 14000.00
Honda, 2023, 14999.00
Husqvarna, 2007, 5199.00
Husqvarna, 2008, 3300.00
Husqvarna, 2015, 7333.33
Husqvarna, 2016, 9999.00
Husqvarna, 2017, 9699.67
Husqvarna, 2018, 9066.50
Husqvarna, 2019, 10599.50
Husqvarna, 2020, 10075.00
Husqvarna, 2021, 10500.00
Husqvarna, 2022, 12500.00
Husqvarna, 2023, 16318.25
Kawasaki, 2007, 5377.33
Kawasaki, 2008, 4566.67
Kawasaki, 2009, 5150.00
Kawasaki, 2010, 6200.00
Kawasaki, 2011, 5716.33
Kawasaki, 2014, 6299.80
Kawasaki, 2015, 6750.00
Kawasaki, 2016, 7157.00
Kawasaki, 2017, 7891.50
Kawasaki, 2018, 8190.00
Kawasaki, 2019, 9133.00
Kawasaki, 2020, 10048.43
Kawasaki, 2022, 12316.50
Kawasaki, 2023, 13900.00
KSR, 2018, 3100.00
Ktm, 2006, 5600.00
Ktm, 2007, 5753.20
Ktm, 2008, 5750.00
Ktm, 2009, 5739.80
Ktm, 2011, 6631.25
Ktm, 2012, 6400.00
Ktm, 2013, 6966.67
Ktm, 2014, 7400.91
Ktm, 2015, 7616.17
Ktm, 2016, 8424.75
Ktm, 2017, 9229.90
Ktm, 2018, 9973.50
Ktm, 2019, 10280.00
Ktm, 2020, 10977.67
Ktm, 2021, 11116.33
Ktm, 2022, 12967.50
Ktm, 2023, 12299.00
Rieju, 2013, 4900.00
Suzuki, 2006, 4600.00
Suzuki, 2007, 4966.33
Suzuki, 2008, 5050.00
Suzuki, 2009, 4800.00
Suzuki, 2010, 6066.33
Suzuki, 2011, 6033.33
Suzuki, 2012, 6299.67
Suzuki, 2013, 4800.00
Suzuki, 2014, 5866.67
Suzuki, 2015, 7000.00
Suzuki, 2016, 6733.00
Suzuki, 2017, 7000.00
Suzuki, 2018, 8975.00
Suzuki, 2020, 9099.50
Suzuki, 2021, 9500.00
Yamaha, 2007, 5000.00
Yamaha, 2008, 4774.75
Yamaha, 2009, 5942.86
Yamaha, 2010, 5650.00
Yamaha, 2011, 5839.80
Yamaha, 2012, 6733.00
Yamaha, 2013, 5833.33
Yamaha, 2015, 6533.33
Yamaha, 2016, 6766.67
Yamaha, 2017, 7849.93
Yamaha, 2018, 8900.00
Yamaha, 2019, 9683.22
Yamaha, 2020, 10100.00
Yamaha, 2021, 10949.50
Yamaha, 2022, 12200.00
Yamaha, 2023, 19999.00
