Make, Year, Count, Average Price, Mean Price, StdDev Price, Median Price, Price Variance
Други, 2023, 2, 5245, 5245, 5245, 5245, 0.237
Aeon, 2022, 1, 3100, 3100, 3100, 3100, 0.000
Balkan, 2023, 1, 3500, 3500, 3500, 3500, 0.000
Barton, 0, 1, 4590, 4590, 4590, 4590, 0.000
Barton, 2023, 1, 4590, 4590, 4590, 4590, 0.000
Bashan, 0, 1, 5490, 5490, 5490, 5490, 0.000
Bashan, 2023, 1, 5490, 5490, 5490, 5490, 0.000
Beta, 2008, 1, 5800, 5800, 5800, 5800, 0.000
Cfmoto, 2023, 1, 3900, 3900, 3900, 3900, 0.000
GASGAS, 2021, 7, 10986, 10420, 10233, 10400, 0.178
GASGAS, 2022, 5, 10240, 10233, 10300, 10300, 0.107
GASGAS, 2023, 6, 14283, 13050, 12840, 12500, 0.237
Honda, 2006, 4, 6050, 6050, 6150, 6150, 0.124
Honda, 2007, 3, 5333, 5333, 5150, 5200, 0.049
Honda, 2008, 6, 6328, 6275, 5867, 6050, 0.148
Honda, 2009, 1, 4999, 4999, 4999, 4999, 0.000
Honda, 2010, 3, 5567, 5567, 6250, 6000, 0.177
Honda, 2011, 3, 5900, 5900, 5750, 5800, 0.037
Honda, 2012, 14, 6309, 6263, 6359, 6350, 0.117
Honda, 2013, 6, 6075, 6150, 6150, 6250, 0.084
Honda, 2014, 5, 6970, 6967, 6967, 7100, 0.080
Honda, 2015, 2, 6700, 6700, 6700, 6700, 0.030
Honda, 2016, 7, 6729, 6700, 6700, 6700, 0.068
Honda, 2017, 5, 9000, 8900, 9100, 8900, 0.055
Honda, 2018, 5, 8770, 8933, 8933, 9200, 0.097
Honda, 2019, 7, 9357, 9220, 9220, 9300, 0.113
Honda, 2020, 4, 9962, 9962, 10283, 10125, 0.066
Honda, 2021, 4, 10850, 10850, 11300, 11150, 0.077
Honda, 2022, 3, 12600, 12600, 13400, 13300, 0.090
Honda, 2023, 3, 15833, 15833, 14999, 14999, 0.074
Husqvarna, 2014, 1, 8000, 8000, 8000, 8000, 0.000
Husqvarna, 2015, 2, 6775, 6775, 6775, 6775, 0.033
Husqvarna, 2016, 1, 9999, 9999, 9999, 9999, 0.000
Husqvarna, 2017, 3, 9766, 9766, 9500, 9500, 0.094
Husqvarna, 2018, 7, 9871, 9660, 9660, 9400, 0.130
Husqvarna, 2019, 7, 9086, 9140, 9325, 9500, 0.075
Husqvarna, 2020, 4, 9750, 9750, 9800, 9800, 0.092
Husqvarna, 2021, 3, 10133, 10133, 9200, 9200, 0.130
Husqvarna, 2022, 2, 11900, 11900, 11900, 11900, 0.050
Husqvarna, 2023, 3, 14218, 14218, 13728, 13900, 0.050
Kawasaki, 2006, 3, 4667, 4667, 4800, 4800, 0.090
Kawasaki, 2007, 2, 5050, 5050, 5050, 5050, 0.050
Kawasaki, 2008, 3, 4750, 4750, 4425, 4500, 0.098
Kawasaki, 2009, 2, 4850, 4850, 4850, 4850, 0.175
Kawasaki, 2010, 1, 6000, 6000, 6000, 6000, 0.000
Kawasaki, 2012, 3, 5800, 5800, 5700, 5700, 0.078
Kawasaki, 2013, 1, 5500, 5500, 5500, 5500, 0.000
Kawasaki, 2014, 1, 6300, 6300, 6300, 6300, 0.000
Kawasaki, 2015, 5, 6200, 6167, 6167, 6200, 0.078
Kawasaki, 2016, 8, 7300, 7333, 7480, 7400, 0.088
Kawasaki, 2017, 10, 7635, 7625, 7619, 7675, 0.090
Kawasaki, 2018, 4, 8200, 8200, 8050, 8050, 0.120
Kawasaki, 2019, 5, 8576, 8493, 8493, 8500, 0.083
Kawasaki, 2020, 6, 9750, 9550, 9500, 9550, 0.060
Kawasaki, 2022, 5, 12780, 12033, 11600, 11600, 0.196
Kawasaki, 2023, 4, 11200, 11200, 12700, 12100, 0.246
KSR, 2018, 1, 3100, 3100, 3100, 3100, 0.000
Ktm, 2006, 2, 6100, 6100, 6100, 6100, 0.262
Ktm, 2007, 5, 5293, 4967, 4950, 4950, 0.130
Ktm, 2008, 3, 5666, 5666, 5500, 5500, 0.110
Ktm, 2009, 2, 5500, 5500, 5500, 5500, 0.273
Ktm, 2011, 8, 6936, 7032, 6898, 7000, 0.101
Ktm, 2012, 2, 6545, 6545, 6545, 6545, 0.008
Ktm, 2013, 2, 6500, 6500, 6500, 6500, 0.077
Ktm, 2014, 4, 7150, 7150, 7200, 7150, 0.021
Ktm, 2015, 5, 7350, 7350, 7350, 7350, 0.073
Ktm, 2016, 4, 8050, 8050, 7766, 7900, 0.070
Ktm, 2017, 16, 8841, 8825, 8795, 8850, 0.055
Ktm, 2018, 10, 9520, 9350, 9312, 9350, 0.135
Ktm, 2019, 9, 10022, 9886, 9500, 9600, 0.102
Ktm, 2020, 4, 12500, 12500, 12450, 12450, 0.133
Ktm, 2021, 7, 11000, 10840, 11250, 10800, 0.144
Ktm, 2022, 3, 13000, 13000, 12250, 12500, 0.083
Ktm, 2023, 1, 12300, 12300, 12300, 12300, 0.000
Sherco, 2007, 1, 7000, 7000, 7000, 7000, 0.000
Suzuki, 2006, 4, 4863, 4863, 4775, 4775, 0.083
Suzuki, 2007, 5, 4940, 4800, 4800, 4700, 0.116
Suzuki, 2008, 2, 4875, 4875, 4875, 4875, 0.026
Suzuki, 2009, 1, 5000, 5000, 5000, 5000, 0.000
Suzuki, 2011, 1, 6500, 6500, 6500, 6500, 0.000
Suzuki, 2012, 5, 6220, 6233, 6233, 6200, 0.085
Suzuki, 2013, 1, 6500, 6500, 6500, 6500, 0.000
Suzuki, 2014, 3, 7533, 7533, 7400, 7400, 0.185
Suzuki, 2015, 3, 6367, 6367, 6050, 6100, 0.071
Suzuki, 2016, 2, 6500, 6500, 6500, 6500, 0.077
Suzuki, 2017, 2, 6750, 6750, 6750, 6750, 0.037
Suzuki, 2018, 4, 8888, 8888, 9000, 9000, 0.067
Suzuki, 2020, 2, 8850, 8850, 8850, 8850, 0.028
Suzuki, 2021, 1, 9200, 9200, 9200, 9200, 0.000
Yamaha, 2008, 4, 5000, 5000, 4800, 4800, 0.136
Yamaha, 2009, 6, 5200, 5050, 4675, 4850, 0.149
Yamaha, 2010, 2, 6750, 6750, 6750, 6750, 0.081
Yamaha, 2011, 4, 6200, 6200, 6200, 6200, 0.011
Yamaha, 2012, 3, 6500, 6500, 5800, 6000, 0.154
