<<<<<<< Updated upstream
15.2.2024 г.
Make,Year,Count,Variance
Други,2023,2,0.237
GASGAS,2023,6,0.237
Kawasaki,2022,5,0.196
Kawasaki,2023,4,0.246
Ktm,2006,2,0.262
Ktm,2009,2,0.273
Yamaha,2018,4,0.330
Yamaha,2021,3,0.407
Make,Year,Count,Range
Други,2023,2,2491
GASGAS,2021,7,6200
GASGAS,2022,5,2500
GASGAS,2023,6,9501
Honda,2008,6,2466
Honda,2010,3,2300
Honda,2012,14,2600
Honda,2018,5,2450
Honda,2019,7,3601
Honda,2021,4,2100
Honda,2022,3,2500
Honda,2023,3,2501
Husqvarna,2017,3,2199
Husqvarna,2018,7,4200
Husqvarna,2020,4,2400
Husqvarna,2021,3,2800
Kawasaki,2017,10,2601
Kawasaki,2018,4,2701
Kawasaki,2022,5,7200
Kawasaki,2023,4,7200
Ktm,2006,2,3200
Ktm,2009,2,3000
Ktm,2011,8,2100
Ktm,2017,16,2100
Ktm,2018,10,4700
Ktm,2019,9,2999
Ktm,2020,4,4700
Ktm,2021,7,4800
Ktm,2022,3,2500
Suzuki,2014,3,3400
Yamaha,2012,3,2300
Yamaha,2017,13,4401
Yamaha,2018,4,8800
Yamaha,2019,9,4200
Yamaha,2020,6,3300
Yamaha,2021,3,8200
Yamaha,2022,3,2200
=======
10.3.2024 г.
Make,Year,Count,Variance
Други,2023,2,0.237
GASGAS,2021,7,0.258
GASGAS,2023,11,0.412
GASGAS,2024,5,0.314
Honda,2006,4,0.264
Kawasaki,2011,2,0.200
Kawasaki,2023,4,0.270
Ktm,2006,4,0.204
Ktm,2007,5,0.290
Ktm,2008,3,0.273
Ktm,2009,3,0.225
Ktm,2014,9,0.205
Ktm,2017,23,0.216
Ktm,2020,9,0.238
Ktm,2021,7,0.218
Ktm,2022,7,0.286
Ktm,2023,5,0.269
Yamaha,2010,3,0.345
Yamaha,2012,5,0.222
Yamaha,2017,10,0.309
Yamaha,2021,5,0.311
Make,Year,Count,Range
Други,2023,2,2491
GASGAS,2021,7,9500
GASGAS,2022,7,5001
GASGAS,2023,11,15500
GASGAS,2024,5,15750
Honda,2006,4,3400
Honda,2013,6,2270
Honda,2014,6,2350
Honda,2018,7,2999
Honda,2019,8,3600
Honda,2023,3,2501
Husqvarna,2015,4,2100
Husqvarna,2016,3,3499
Husqvarna,2017,7,3499
Husqvarna,2018,9,4500
Husqvarna,2020,6,2400
Husqvarna,2021,2,3100
Husqvarna,2024,3,3610
Kawasaki,2016,7,3600
Kawasaki,2017,8,2301
Kawasaki,2020,6,5499
Kawasaki,2023,4,5000
Ktm,2006,4,3400
Ktm,2007,5,3466
Ktm,2008,3,3299
Ktm,2009,3,3000
Ktm,2011,8,2200
Ktm,2012,8,2850
Ktm,2013,8,3000
Ktm,2014,9,3801
Ktm,2015,10,3200
Ktm,2016,4,4201
Ktm,2017,23,8100
Ktm,2018,15,7700
Ktm,2019,14,4699
Ktm,2020,9,9100
Ktm,2021,7,8301
Ktm,2022,7,8400
Ktm,2023,5,8100
Suzuki,2014,2,2110
Yamaha,2010,3,5000
Yamaha,2011,5,2700
Yamaha,2012,5,4400
Yamaha,2017,10,10500
Yamaha,2018,6,3700
Yamaha,2019,10,3700
Yamaha,2020,8,5200
Yamaha,2021,5,8200
Yamaha,2022,3,2700
>>>>>>> Stashed changes
