23.1.2024 г. 19:37:58
There are currently 379 Motocross announcements.
87 out of 379 are 250 cc.
24 out of 379 are 350 cc.
115 out of 379 are 450 cc.
127 out of 379 are neither of the above or do not contain engine displacement information.
Market Share (CC, %):
250, 34.52
350, 9.52
450, 45.63
ДРУГИ, 2
BALKAN, 1
BARTON, 2
BASHAN, 2
BETA, 1
CFMOTO, 1
GASGAS, 14
HONDA, 89
HUSQVARNA, 29
KAWASAKI, 65
KSR, 1
KTM, 89
SUZUKI, 29
YAMAHA, 56
0, 2
2006, 12
2007, 15
2008, 19
2009, 13
2010, 10
2011, 10
2012, 34
2013, 12
2014, 13
2015, 23
2016, 31
2017, 35
2018, 28
2019, 32
2020, 34
2021, 20
2022, 18
2023, 20
